City,Label,Month,Year,Date,Day of Week,Area,SQKM,Count_000,Count_010,Count_015
Mariupol,may_2020_05,5,2020,5/5/2020 8:32,1,0.029400407,228.1097613,88830,16300,8376
Mariupol,may_2021_31,5,2021,5/31/2021 8:22,0,0.000756852,6.151825297,3162,158,20
Mariupol,may_2022_06,5,2022,5/6/2022 8:50,4,0.012575432,101.6995238,52189,7499,2344
Mariupol,may_2022_07,5,2022,5/7/2022 8:39,5,0.002315715,18.68002055,6760,662,256
Mariupol,may_2022_08,5,2022,5/8/2022 8:23,6,0.026357418,207.449292,64616,6123,1890
Mariupol,may_2022_12,5,2022,5/12/2022 8:18,3,0.014311625,112.2080137,107730,11482,4204
Mariupol,sep_2019_25,9,2019,9/25/2019 9:02,2,0.017508497,141.7394599,137080,20712,9003
Melitopol,apr_2020_10,4,2020,4/10/2020 8:40,4,0.025377529,204.6741536,80663,16155,9039
Melitopol,apr_2021_23,4,2021,4/23/2021 9:01,4,0.033510038,268.7793952,111291,16950,8202
Melitopol,apr_2022_06,4,2022,4/6/2022 8:53,2,0.007184545,58.92721261,97487,16138,7766
Melitopol,feb_2019_19,2,2019,2/19/2019 9:09,1,0.029110384,235.8909607,30556,7482,3967
Melitopol,jul_2019_05,7,2019,7/5/2019 9:05,4,0.026758322,217.5948862,47728,11024,6550
Melitopol,jul_2021_14,7,2021,7/14/2021 8:55,2,0.01293034,104.7315019,113766,18944,11078
Melitopol,mar_2020_13,3,2020,3/13/2020 8:56,4,0.02889994,235.5447535,343667,45889,20926
Melitopol,mar_2021_04,3,2021,3/4/2021 9:05,3,0.032730773,262.9707705,51616,6968,3062
Melitopol,mar_2021_07,3,2021,3/7/2021 8:44,6,0.007838942,60.91019006,18325,1215,474
Melitopol,mar_2022_20,3,2022,3/20/2022 8:40,6,0.030085527,244.776968,69439,5652,1495
Melitopol,mar_2022_24,3,2022,3/24/2022 8:48,3,0.028557802,232.3550556,228746,30472,14452
Melitopol,may_2020_10,5,2020,5/10/2020 8:37,6,0.019162843,153.5939304,21465,2269,683
Melitopol,may_2020_16,5,2020,5/16/2020 8:26,5,0.024098445,193.8298294,53908,6965,2465
Melitopol,oct_2019_17,10,2019,10/17/2019 8:35,3,0.034212322,273.4284939,53620,5353,1567
Merefa,apr_2020_07,4,2020,4/7/2020 8:29,1,0.018581762,135.3287319,45687,4130,1582
Merefa,feb_2022_20,2,2022,2/20/2022 9:01,6,0.011533087,88.36719792,13235,1545,315
Merefa,jan_2021_18,1,2021,1/18/2021 8:23,0,0.002113605,16.42423761,18,0,0
Merefa,jun_2020_09,6,2020,6/9/2020 8:34,1,0.018581762,135.3290744,78890,7182,2932
Merefa,mar_2020_01,3,2020,3/1/2020 9:05,6,0.002676668,20.4243283,9819,628,261
Merefa,oct_2019_20,10,2019,10/20/2019 8:58,6,0.016824704,129.1095132,106416,10367,4319
Merefa,oct_2020_09,10,2020,10/9/2020 8:47,4,0.004247286,32.92931271,3311,284,94
Milove,dec_2020_01,12,2020,12/1/2020 8:34,1,0.004506722,34.88622057,13155,2230,785
Milove,dec_2020_09,12,2020,12/9/2020 8:26,2,0.000570952,4.423303891,3818,237,25
Milove,jan_2020_30,1,2020,1/30/2020 8:44,3,0.004769254,36.48580271,10639,852,152
